主機板/顯示卡, MSI微星 RADEON RX 570 ARMOR 4G OC 顯示卡
主機板/顯示卡, ASUS華碩 GT710-SL-2GD5 顯示卡
主機板/顯示卡, ASUS華碩 ROG Strix  RTX 2080Ti O11G GAMING 顯示卡
主機板/顯示卡, 華碩 ASUS GeForce® GT 1030 2GB 短版顯示卡
主機板/顯示卡, ASUS ROG Strix GeForce RTX 2080 SUPER A8G 顯示卡
主機板/顯示卡, 華碩 TUF GAMING X570-PLUS (WI-FI)主機板
主機板/顯示卡, MSI微星 GeForce GTX 1650 SUPER AERO ITX OC 顯示卡
主機板/顯示卡, ASUS Turbo GeForce RTX 2070 SUPER 8G EVO 顯示卡
主機板/顯示卡, 華碩 PRIME Z390-P+DUAL-RTX2070S-O8G-EVO 組合套餐
主機板/顯示卡, ASUS華碩 ROG-STRIX-RTX2080TI-O11G-GAMING 顯示卡
主機板/顯示卡, ASUS華碩 ROG-STRIX-RTX2070S-O8G-GAMING 顯示卡
主機板/顯示卡, MSI微星 GeForce RTX 2060 GAMING Z 6G 顯示卡
主機板/顯示卡, (無卡分期12期)華碩TUF-RTX2060-O6G-GAMING顯示卡
主機板/顯示卡, MSI微星 GeForce GT 1030 AERO 2G OC 顯示卡
主機板/顯示卡, 華碩ROG STRIX Z390-F GAMING主機板
主機板/顯示卡, MSI微星 GeForce GT 1030 2G LP OCV2 顯示卡
主機板/顯示卡, MSI微星 B450M PRO-M2 MAX 主機板
主機板/顯示卡, INNO3D 映眾 GeForce GT1030 2GB GDDR5 顯示卡
主機板/顯示卡, MSI微星 MPG Z390 GAMING PRO CARBON 主機板
主機板/顯示卡, MSI微星 GeForce RTX 2080 GAMING X TRIO 顯示卡
主機板/顯示卡, ASUS華碩 PRIME X570-P 主機板
主機板/顯示卡, (無卡12期)華碩PRIME H310M-K R2.0 + i7-9700 組合
主機板/顯示卡, MSI微星 GeForce RTX 2060 VENTUS XS 6G OC 顯示卡
主機板/顯示卡, (無卡分期12期)MSI GeForce RTX 2080 SUPER VENTUS OC
主機板/顯示卡, MSI微星 B450M PRO-M2 MAX + AMD R7 3700X 組合套餐
主機板/顯示卡, MSI微星 GeForce GTX 1650 GAMING 4G 顯示卡
主機板/顯示卡, ASUS華碩 ROG STRIX RTX2060S O8G EVO GAMING 顯示卡
主機板/顯示卡, ASUS華碩 PRIME B450M-A + AMD R5-3600組合套餐
主機板/顯示卡, ASUS 華碩 DUAL-GTX1650-O4G 顯示卡
